# Extreme distributed loads (per-unit-span)
# Source     : provided r/R flap-edge dataset (Fx -> q_y flapwise, Fy -> q_z edgewise),
#              interpolated to blade_spanwise_distribution.dat grid using
#              radial_pos / R_tip with R_tip = max(radial_pos).
# Convention : SI units (m, N, N*m). Per-unit-span quantities use "/m".
# Datum      : section frame; q_y is flapwise, q_z is edgewise, m_x is twist per unit span.
#
# Schema (in column order):
#   spanwise_pos   [m]       spanwise position z (matches blade_spanwise_distribution.dat grid)
#   radial_pos     [m]       radial position r from rotor centre
#   q_y_Npm        [N/m]     distributed flapwise force per unit span
#   q_z_Npm        [N/m]     distributed edgewise force per unit span
#   m_x_Nmpm       [N*m/m]   distributed twisting moment per unit span
#
# units: m, m, N/m, N/m, N*m/m
  spanwise_pos     radial_pos          q_y_Npm          q_z_Npm         m_x_Nmpm
      0.000000     1.37500000        -2531.088         -174.067           34.250
      0.055000     1.43000000        16072.971        15163.508          298.308
      0.110000     1.48500000        20558.867        20105.866          388.207
      0.165000     1.54000000        21529.971        20269.266          399.195
      0.220000     1.59500000        22299.073        19891.029          403.400
      0.275000     1.65000000        22999.877        19336.286          405.649
      0.330000     1.70500000        23682.722        18793.635          408.154
      0.385000     1.76000000        24351.338        18338.163          411.534
      0.440000     1.81500000        25025.323        17990.646          416.083
      0.495000     1.87000000        25717.789        17773.076          422.031
      0.550000     1.92500000        26423.881        17677.016          429.185
      0.605000     1.98000000        27240.296        17633.132          438.066
      0.660000     2.03500000        28143.976        17623.260          448.286
      0.715000     2.09000000        29097.015        17642.755          459.378
      0.770000     2.14500000        30078.583        17692.623          471.100
      0.825000     2.20000000        31048.242        17739.629          482.743
      0.880000     2.25500000        32054.994        17798.061          494.972
      0.935000     2.31000000        33123.577        17875.397          508.128
      0.990000     2.36500000        34219.543        17939.062          521.594
      1.045000     2.42000000        35329.349        17998.065          535.270
      1.100000     2.47500000        36480.193        18049.963          549.469
      1.155000     2.53000000        37644.087        18109.227          563.942
      1.210000     2.58500000        38825.746        18178.519          578.754
      1.265000     2.64000000        39982.889        18224.057          593.194
      1.320000     2.69500000        41126.157        18256.151          607.447
      1.375000     2.75000000        42392.456        18311.607          623.407
      1.430000     2.80500000        43691.340        18373.249          639.864
      1.485000     2.86000000        44958.721        18444.450          656.034
      1.540000     2.91500000        46221.865        18516.937          672.205
      1.595000     2.97000000        47508.729        18608.322          688.811
      1.650000     3.02500000        48797.859        18701.512          705.493
      1.705000     3.08000000        50026.737        18761.134          721.291
      1.760000     3.13500000        51247.925        18816.472          737.007
      1.815000     3.19000000        52476.178        18886.756          752.915
      1.870000     3.24500000        53706.141        18960.656          768.891
      1.925000     3.30000000        54930.352        19045.206          784.867
      1.980000     3.35500000        56151.733        19134.997          800.854
      2.035000     3.41000000        57419.658        19206.701          817.382
      2.090000     3.46500000        58737.271        19259.096          834.490
      2.145000     3.52000000        60048.442        19316.363          851.564
      2.200000     3.57500000        61340.062        19388.415          868.472
      2.255000     3.63000000        62631.683        19460.467          885.402
      2.310000     3.68500000        63689.469        19544.750          899.382
      2.365000     3.74000000        64738.738        19629.478          913.265
      2.420000     3.79500000        65870.039        19728.172          928.272
      2.475000     3.85000000        67048.106        19834.827          943.926
      2.530000     3.90500000        68161.335        19963.245          958.833
      2.585000     3.96000000        69095.900        20151.631          971.656
      2.640000     4.01500000        70030.464        20340.017          984.481
      2.695000     4.07000000        71081.821        20424.093          998.431
      2.750000     4.12500000        72152.948        20490.510         1012.582
      2.805000     4.18000000        73141.576        20520.569         1025.537
      2.860000     4.23500000        74009.552        20497.455         1036.740
      2.915000     4.29000000        74877.528        20474.342         1047.955
      2.970000     4.34500000        75716.939        20443.373         1058.781
      3.025000     4.40000000        76553.909        20411.734         1069.583
      3.080000     4.45500000        77418.437        20387.649         1080.782
      3.135000     4.51000000        78323.765        20374.750         1092.561
      3.190000     4.56500000        79229.092        20361.850         1104.351
      3.245000     4.62000000        80211.646        20325.113         1117.081
      3.300000     4.67500000        81207.386        20284.306         1129.982
      3.355000     4.73000000        82191.879        20242.201         1142.745
      3.410000     4.78500000        83146.984        20196.703         1155.124
      3.465000     4.84000000        84102.088        20151.205         1167.514
      3.520000     4.89500000        85139.662        20142.317         1181.113
      3.575000     4.95000000        86217.220        20151.179         1195.301
      3.630000     5.00500000        87292.587        20160.152         1209.469
      3.685000     5.06000000        88323.312        20171.389         1223.065
      3.740000     5.11500000        89354.038        20182.626         1236.668
      3.795000     5.17000000        90409.471        20201.351         1250.625
      3.850000     5.22500000        91502.080        20231.343         1265.112
      3.905000     5.28000000        92594.689        20261.334         1279.605
      3.960000     5.33500000        93662.715        20283.995         1293.758
      4.015000     5.39000000        94721.809        20303.993         1307.792
      4.070000     5.44500000        95781.476        20323.872         1321.839
      4.125000     5.50000000        96851.612        20341.576         1336.024
      4.180000     5.55500000        97921.747        20359.281         1350.214
      4.235000     5.61000000        98994.638        20377.809         1364.448
      4.290000     5.66500000       100072.484        20397.819         1378.757
      4.345000     5.72000000       101150.330        20417.829         1393.072
      4.400000     5.77500000       102181.560        20428.139         1406.748
      4.455000     5.83000000       103187.933        20433.277         1420.086
      4.510000     5.88500000       104194.305        20438.414         1433.429
      4.565000     5.94000000       105202.680        20444.617         1446.806
      4.620000     5.99500000       106211.185        20450.890         1460.189
      4.675000     6.05000000       107218.416        20452.746         1473.549
      4.730000     6.10500000       108221.155        20439.029         1486.814
      4.785000     6.16000000       109223.893        20425.312         1500.083
      4.840000     6.21500000       110272.216        20412.926         1513.966
      4.895000     6.27000000       111366.121        20401.871         1528.463
      4.950000     6.32500000       112460.026        20390.815         1542.965
      5.005000     6.38000000       113719.392        20463.216         1559.869
      5.060000     6.43500000       115025.674        20559.281         1577.456
      5.115000     6.49000000       116323.535        20654.334         1594.930
      5.170000     6.54500000       117491.353        20733.765         1610.641
      5.225000     6.60000000       118659.170        20813.197         1626.354
      5.280000     6.65500000       119804.048        20865.270         1641.700
      5.335000     6.71000000       120905.909        20866.040         1656.359
      5.390000     6.76500000       122007.770        20866.809         1671.021
      5.445000     6.82000000       122977.842        20827.082         1683.841
      5.500000     6.87500000       123874.638        20764.839         1695.640
      5.555000     6.93000000       124771.435        20702.597         1707.444
      5.610000     6.98500000       125627.186        20638.006         1718.700
      5.665000     7.04000000       126480.688        20573.287         1729.930
      5.720000     7.09500000       127341.545        20488.231         1741.219
      5.775000     7.15000000       128222.644        20347.207         1752.665
      5.830000     7.20500000       129103.743        20206.183         1764.118
      5.885000     7.26000000       129996.453        20169.640         1775.950
      5.940000     7.31500000       130896.878        20202.540         1788.031
      5.995000     7.37000000       131797.304        20235.441         1800.113
      6.050000     7.42500000       132639.908        20276.660         1811.441
      6.105000     7.48000000       133479.672        20318.287         1822.733
      6.160000     7.53500000       134280.452        20345.884         1833.477
      6.215000     7.59000000       135000.822        20344.541         1843.090
      6.270000     7.64500000       135721.193        20343.198         1852.704
      6.325000     7.70000000       136423.622        20321.372         1862.039
      6.380000     7.75500000       137119.185        20291.707         1871.269
      6.435000     7.81000000       137837.229        20256.452         1880.789
      6.490000     7.86500000       138686.940        20188.449         1892.007
      6.545000     7.92000000       139536.651        20120.447         1903.228
      6.600000     7.97500000       140372.770        20038.821         1914.244
      6.655000     8.03000000       141199.709        19947.992         1925.125
      6.710000     8.08500000       142023.993        19856.605         1935.972
      6.765000     8.14000000       142817.217        19758.674         1946.397
      6.820000     8.19500000       143610.440        19660.743         1956.825
      6.875000     8.25000000       144418.492        19557.574         1967.446
      6.930000     8.30500000       145236.684        19450.823         1978.201
      6.985000     8.36000000       146051.894        19341.875         1988.915
      7.040000     8.41500000       146849.485        19219.946         1999.376
      7.095000     8.47000000       147647.077        19098.017         2009.841
      7.150000     8.52500000       148376.045        18973.579         2019.387
      7.205000     8.58000000       149080.109        18848.229         2028.603
      7.260000     8.63500000       149793.383        18741.933         2037.978
      7.315000     8.69000000       150522.810        18669.059         2047.628
