# Operational distributed loads, long format (time x station)
# Source     : demo amplitudes scaled in time. Spatial grid aligned with
#              blade_spanwise_distribution.dat (spanwise_pos, radial_pos).
# Convention : SI units (s, m, N, N*m). Per-unit-span quantities use "/m".
# Datum      : section frame; q_y is flapwise, q_z is edgewise, m_x is twist per unit span.
# Layout     : long format. Each row is one (t, z) sample; t advances slowest.
#
# Schema (in column order):
#   t_s            [s]       time
#   spanwise_pos   [m]       spanwise position z
#   radial_pos     [m]       radial position r from rotor centre
#   q_y_Npm        [N/m]     distributed flapwise force per unit span
#   q_z_Npm        [N/m]     distributed edgewise force per unit span
#   m_x_Nmpm       [N*m/m]   distributed twisting moment per unit span
#
# units: s, m, m, N/m, N/m, N*m/m
       t_s   spanwise_pos     radial_pos          q_y_Npm          q_z_Npm         m_x_Nmpm
     0.000       0.000000     1.37500000          446.511          -55.546           18.173
     0.000       0.055000     1.43000000          443.546          -55.212           18.073
     0.000       0.110000     1.48500000          440.586          -54.877           17.973
     0.000       0.165000     1.54000000          437.630          -54.543           17.873
     0.000       0.220000     1.59500000          434.678          -54.209           17.773
     0.000       0.275000     1.65000000          431.730          -53.875           17.673
     0.000       0.330000     1.70500000          428.787          -53.542           17.573
     0.000       0.385000     1.76000000          425.848          -53.209           17.473
     0.000       0.440000     1.81500000          422.913          -52.877           17.373
     0.000       0.495000     1.87000000          419.983          -52.544           17.273
     0.000       0.550000     1.92500000          417.057          -52.212           17.174
     0.000       0.605000     1.98000000          414.136          -51.880           17.074
     0.000       0.660000     2.03500000          411.219          -51.549           16.974
     0.000       0.715000     2.09000000          408.307          -51.218           16.874
     0.000       0.770000     2.14500000          405.399          -50.887           16.775
     0.000       0.825000     2.20000000          402.496          -50.556           16.675
     0.000       0.880000     2.25500000          399.597          -50.226           16.575
     0.000       0.935000     2.31000000          396.702          -49.896           16.476
     0.000       0.990000     2.36500000          393.813          -49.566           16.376
     0.000       1.045000     2.42000000          390.928          -49.237           16.277
     0.000       1.100000     2.47500000          388.047          -48.908           16.177
     0.000       1.155000     2.53000000          385.171          -48.579           16.078
     0.000       1.210000     2.58500000          382.300          -48.251           15.978
     0.000       1.265000     2.64000000          379.434          -47.923           15.879
     0.000       1.320000     2.69500000          376.572          -47.595           15.779
     0.000       1.375000     2.75000000          373.715          -47.268           15.680
     0.000       1.430000     2.80500000          370.862          -46.941           15.581
     0.000       1.485000     2.86000000          368.015          -46.614           15.481
     0.000       1.540000     2.91500000          365.172          -46.288           15.382
     0.000       1.595000     2.97000000          362.334          -45.962           15.283
     0.000       1.650000     3.02500000          359.501          -45.636           15.184
     0.000       1.705000     3.08000000          356.673          -45.310           15.085
     0.000       1.760000     3.13500000          353.850          -44.985           14.986
     0.000       1.815000     3.19000000          351.032          -44.661           14.886
     0.000       1.870000     3.24500000          348.218          -44.336           14.787
     0.000       1.925000     3.30000000          345.410          -44.012           14.688
     0.000       1.980000     3.35500000          342.606          -43.689           14.589
     0.000       2.035000     3.41000000          339.808          -43.365           14.490
     0.000       2.090000     3.46500000          337.015          -43.042           14.392
     0.000       2.145000     3.52000000          334.227          -42.720           14.293
     0.000       2.200000     3.57500000          331.444          -42.397           14.194
     0.000       2.255000     3.63000000          328.666          -42.075           14.095
     0.000       2.310000     3.68500000          325.893          -41.754           13.996
     0.000       2.365000     3.74000000          323.125          -41.433           13.898
     0.000       2.420000     3.79500000          320.363          -41.112           13.799
     0.000       2.475000     3.85000000          317.606          -40.791           13.700
     0.000       2.530000     3.90500000          314.854          -40.471           13.602
     0.000       2.585000     3.96000000          312.108          -40.152           13.503
     0.000       2.640000     4.01500000          309.367          -39.832           13.405
     0.000       2.695000     4.07000000          306.631          -39.513           13.306
     0.000       2.750000     4.12500000          303.901          -39.195           13.208
     0.000       2.805000     4.18000000          301.176          -38.877           13.109
     0.000       2.860000     4.23500000          298.457          -38.559           13.011
     0.000       2.915000     4.29000000          295.743          -38.241           12.913
     0.000       2.970000     4.34500000          293.035          -37.924           12.814
     0.000       3.025000     4.40000000          290.333          -37.608           12.716
     0.000       3.080000     4.45500000          287.636          -37.291           12.618
     0.000       3.135000     4.51000000          284.944          -36.975           12.520
     0.000       3.190000     4.56500000          282.259          -36.660           12.421
     0.000       3.245000     4.62000000          279.579          -36.345           12.323
     0.000       3.300000     4.67500000          276.905          -36.030           12.225
     0.000       3.355000     4.73000000          274.236          -35.716           12.127
     0.000       3.410000     4.78500000          271.574          -35.402           12.029
     0.000       3.465000     4.84000000          268.917          -35.089           11.931
     0.000       3.520000     4.89500000          266.267          -34.776           11.834
     0.000       3.575000     4.95000000          263.622          -34.463           11.736
     0.000       3.630000     5.00500000          260.983          -34.151           11.638
     0.000       3.685000     5.06000000          258.351          -33.839           11.540
     0.000       3.740000     5.11500000          255.724          -33.528           11.443
     0.000       3.795000     5.17000000          253.104          -33.217           11.345
     0.000       3.850000     5.22500000          250.489          -32.907           11.247
     0.000       3.905000     5.28000000          247.881          -32.597           11.150
     0.000       3.960000     5.33500000          245.280          -32.288           11.052
     0.000       4.015000     5.39000000          242.684          -31.978           10.955
     0.000       4.070000     5.44500000          240.095          -31.670           10.857
     0.000       4.125000     5.50000000          237.512          -31.362           10.760
     0.000       4.180000     5.55500000          234.936          -31.054           10.663
     0.000       4.235000     5.61000000          232.366          -30.747           10.565
     0.000       4.290000     5.66500000          229.803          -30.440           10.468
     0.000       4.345000     5.72000000          227.246          -30.134           10.371
     0.000       4.400000     5.77500000          224.696          -29.828           10.274
     0.000       4.455000     5.83000000          222.153          -29.523           10.177
     0.000       4.510000     5.88500000          219.617          -29.218           10.080
     0.000       4.565000     5.94000000          217.087          -28.913            9.983
     0.000       4.620000     5.99500000          214.564          -28.610            9.886
     0.000       4.675000     6.05000000          212.048          -28.306            9.789
     0.000       4.730000     6.10500000          209.539          -28.003            9.692
     0.000       4.785000     6.16000000          207.037          -27.701            9.596
     0.000       4.840000     6.21500000          204.542          -27.399            9.499
     0.000       4.895000     6.27000000          202.055          -27.098            9.402
     0.000       4.950000     6.32500000          199.574          -26.797            9.306
     0.000       5.005000     6.38000000          197.101          -26.497            9.209
     0.000       5.060000     6.43500000          194.635          -26.197            9.113
     0.000       5.115000     6.49000000          192.177          -25.898            9.016
     0.000       5.170000     6.54500000          189.726          -25.600            8.920
     0.000       5.225000     6.60000000          187.283          -25.302            8.824
     0.000       5.280000     6.65500000          184.847          -25.004            8.727
     0.000       5.335000     6.71000000          182.419          -24.707            8.631
     0.000       5.390000     6.76500000          179.999          -24.411            8.535
     0.000       5.445000     6.82000000          177.586          -24.115            8.439
     0.000       5.500000     6.87500000          175.182          -23.820            8.343
     0.000       5.555000     6.93000000          172.785          -23.525            8.247
     0.000       5.610000     6.98500000          170.397          -23.231            8.151
     0.000       5.665000     7.04000000          168.017          -22.938            8.056
     0.000       5.720000     7.09500000          165.645          -22.645            7.960
     0.000       5.775000     7.15000000          163.281          -22.353            7.864
     0.000       5.830000     7.20500000          160.926          -22.061            7.769
     0.000       5.885000     7.26000000          158.579          -21.770            7.673
     0.000       5.940000     7.31500000          156.241          -21.480            7.578
     0.000       5.995000     7.37000000          153.912          -21.190            7.482
     0.000       6.050000     7.42500000          151.591          -20.901            7.387
     0.000       6.105000     7.48000000          149.279          -20.613            7.292
     0.000       6.160000     7.53500000          146.977          -20.325            7.197
     0.000       6.215000     7.59000000          144.683          -20.038            7.102
     0.000       6.270000     7.64500000          142.399          -19.752            7.007
     0.000       6.325000     7.70000000          140.124          -19.467            6.912
     0.000       6.380000     7.75500000          137.858          -19.182            6.817
     0.000       6.435000     7.81000000          135.603          -18.898            6.722
     0.000       6.490000     7.86500000          133.356          -18.614            6.627
     0.000       6.545000     7.92000000          131.120          -18.332            6.533
     0.000       6.600000     7.97500000          128.894          -18.050            6.438
     0.000       6.655000     8.03000000          126.677          -17.769            6.344
     0.000       6.710000     8.08500000          124.471          -17.488            6.249
     0.000       6.765000     8.14000000          122.275          -17.209            6.155
     0.000       6.820000     8.19500000          120.090          -16.930            6.061
     0.000       6.875000     8.25000000          117.916          -16.652            5.967
     0.000       6.930000     8.30500000          115.752          -16.375            5.873
     0.000       6.985000     8.36000000          113.599          -16.099            5.779
     0.000       7.040000     8.41500000          111.458          -15.823            5.685
     0.000       7.095000     8.47000000          109.328          -15.549            5.592
     0.000       7.150000     8.52500000          107.209          -15.275            5.498
     0.000       7.205000     8.58000000          105.103          -15.002            5.405
     0.000       7.260000     8.63500000          103.008          -14.731            5.311
     0.000       7.315000     8.69000000          100.925          -14.460            5.218
     0.000       7.370000     8.74500000           98.855          -14.190            5.125
     0.000       7.425000     8.80000000           96.797          -13.921            5.032
     0.000       7.480000     8.85500000           94.752          -13.653            4.939
     0.000       7.535000     8.91000000           92.720          -13.386            4.846
     0.000       7.590000     8.96500000           90.701          -13.121            4.753
     0.000       7.645000     9.02000000           88.696          -12.856            4.661
     0.000       7.700000     9.07500000           86.705          -12.592            4.568
     0.000       7.755000     9.13000000           84.728          -12.330            4.476
     0.000       7.810000     9.18500000           82.766          -12.069            4.384
     0.000       7.865000     9.24000000           80.818          -11.808            4.292
     0.000       7.920000     9.29500000           78.886          -11.549            4.200
     0.000       7.975000     9.35000000           76.969          -11.292            4.108
     0.000       8.030000     9.40500000           75.068          -11.035            4.017
     0.000       8.085000     9.46000000           73.183          -10.780            3.925
     0.000       8.140000     9.51500000           71.315          -10.527            3.834
     0.000       8.195000     9.57000000           69.465          -10.274            3.743
     0.000       8.250000     9.62500000           67.632          -10.023            3.652
     0.000       8.305000     9.68000000           65.817           -9.774            3.561
     0.000       8.360000     9.73500000           64.021           -9.526            3.471
     0.000       8.415000     9.79000000           62.244           -9.280            3.380
     0.000       8.470000     9.84500000           60.488           -9.036            3.290
     0.000       8.525000     9.90000000           58.752           -8.793            3.200
     0.000       8.580000     9.95500000           57.038           -8.552            3.111
     0.000       8.635000    10.01000000           55.346           -8.313            3.021
     0.000       8.690000    10.06500000           53.678           -8.076            2.932
     0.000       8.745000    10.12000000           52.034           -7.841            2.843
     0.000       8.800000    10.17500000           50.416           -7.608            2.754
     0.000       8.855000    10.23000000           48.824           -7.378            2.666
     0.000       8.910000    10.28500000           47.260           -7.150            2.578
     0.000       8.965000    10.34000000           45.727           -6.924            2.490
     0.000       9.020000    10.39500000           44.225           -6.702            2.403
     0.000       9.075000    10.45000000           42.756           -6.482            2.316
     0.000       9.130000    10.50500000           41.324           -6.266            2.229
     0.000       9.185000    10.56000000           39.932           -6.053            2.143
     0.000       9.240000    10.61500000           38.582           -5.844            2.058
     0.000       9.295000    10.67000000           37.280           -5.640            1.973
     0.000       9.350000    10.72500000           36.031           -5.441            1.889
